date,event,venue,setlist
2025-11-03,"Merry Mellow pre.『MALLOW POP 1pic』","FANJ twice","SE;01 HELLO;MC;02 乙女ロック;03 Unknown;04 アタックサイン;05 始まりの宴;MC"
2025-11-08,"「はなまるっ Vol.111」","浅草VAMPKIN","SE;01 BLIND CALL;02 Unknown;03 MY DREAM MY LIFE;04 ぽっぽ♪ポジティブ！！;MC"
2025-11-08,"『AGE FES! 野外』","上野恩賜公園野外ステージ","SE;01 HELLO;02 END THE WORLD;03 ろりぽっぷ!!!!!!!;MC"
2025-11-09,"@ JAM PARTY vol.114 1部","横浜MMブロンテ","SE;01 ろりぽっぷ!!!!!!;02 ぽっぽ♪ポジティブ！！;03 始まりの宴;MC
2025-11-09,"@ JAM PARTY vol.114 2部","横浜MMブロンテ","SE;01キミノセイ、;02Unknown;03SHINY DAYS;MC"
2025-11-15,"すこふぇすDAY","新宿WALLY","SE;01 Say Hello！！;02 ぽっぽ♪ポジティブ！！;03 ろりぽっぷ!!!!!!;MC"
2025-11-15,"すこふぇすNIGTH","新宿WALLY","SE;01 始まりの宴;02 キミノセイ、;03 むげんの☆Lambie;MC"
2025-11-16,"『ラジオ大阪Presents GIRLS CIRCUIT LIVE』","渋谷DESEO","SE;01 アタックサイン;02 BLIND CALL;03 Unknown;04 HELLO;MC"
2025-11-24,"🍬1stAnniversaryLIVE🍬~ろりぽの挑戦~","赤羽ReNY alpha","詳細セトリ投稿なし（新衣装・新曲2曲披露のありがとうございました投稿のみ、画像参照）"
2025-12-06,"12月やねっ","新宿DHNoA","SE;01 主人公;MC;02 Singularity;03 約束!!!!!!!;MC"
2025-12-07,"Oshi Fes in IKEBUKURO Girls X'mas Night","池袋西口公園野外劇場 GLOBAL RING THEATER","SE;01 始まりの宴!!!!!!!;02 ぽっぽ♪ポジティブ！！;03 Unknown;04 主人公;MC"
2025-12-10,"ろりぽっぷ!!!!!!!単独ライブVol.10~NONSTOPLIVE~","（会場未記載）","SE;01 乙女ロック;02 アタックサイン;03 Unknown;04 BLIND CALL;05 MADOROMI;06 END THE WORLD;07 サクラロード;08 Singularity;09 主人公;MC"
2025-12-13,"あむとあむあむ牧場～ギャ‼️～","BUZZ music LABO Sinjuku","SE;01 ろりぽっぷ!!!!!!!;02 始まりの宴!!!!!!!;03 HELLO;04 SHINY DAYS;MC"
2025-12-14,"はるフェスvol.19","秋葉原Galaxy","SE;01 Unknown;02 アタックサイン;03 ぽっぽ♪ポジティブ！！;04 主人公;MC"
2025-12-15,"HYPE IDOL！","品川インターシティホール","SE;01 キミノセイ、;02 約束!!!!!!!;03 主人公;MC"
2025-12-19,"Dear.LIVE! Vol.8 - 綾瀬りょうBIRTHDAY -","新宿WALLY","SE;01 始まりの宴!!!!!!!;02 END THE WORLD;03 Unknown;04 乙女ロック;05 約束!!!!!!!;06 ぽっぽ♪ポジティブ！！;MC"
2025-12-20,"アイドルマリアージュVol.40～全組30分SP～","新宿DHNoA","SE;01 約束!!!!!!!;02 キミノセイ、;MC;03 Singularity;04 MY DREAM MY LIFE;05 END THE WORLD;06 ろりぽっぷ!!!!!!!;MC"
2025-12-21,"#拡散Φ輝望 vol.201\"倉川さいか生誕祭\"","浅草VAMPKIN","SE;01 Unknown;02 SHINY DAYS;03 始まりの宴!!!!!!!;MC"
2025-12-24,"ろりぽっぷ!!!!!!!単独ライブVol.11🎄クリスマススペシャル🎄","渋谷TAKEOFF7","01 MY DREAM MY LIFE;02 キミノセイ、;03 KAWAIIは正義;MC;04 恋人がサンタクロース;05 メリクリ;06 ぽっぽ♪ポジティブ！！;07 HELLO;08 主人公;MC"
2025-12-24,"ろりぽっぷ!!!!!!!ワンコインライブ~私服公演~","渋谷TAKE OFF7","SE;01 Say Hello!!;MC;02 推し事〜女の子アイドルオタクあるある〜;03 むげんの☆Lambie;04 約束!!!!!!!;MC"
2025-12-27,"[pêssego]","池袋リヴォイス","SE;01 HELLO;02 END THE WORLD;03 アタックサイン;04 ろりぽっぷ!!!!!!!;MC"
2025-12-28,"スパドキフェスティバルVol.115～年末大感謝SP～","横浜ランドマークホール","SE;01 乙女ロック;02 Singularity;03 SHINY DAYS;04 Say Hello!!;05 始まりの宴!!!!!!!;MC"
2025-12-29,"Killer Tune SHIBUYA THE LAST Day1","SHIBUYA CYCLONE","SE;01 Singularity;02 BLIND CALL;MC;03 Unknown;04 END THE WORLD;05 サクラロード;06 乙女ロック;MC"
